X,Y,id,occ_abs
-48.3679326,-27.4245432,20,0
-48.3646658,-27.4872634,21,0
-48.3577557,-27.4849126,22,0
-48.4803655,-26.3696719,24,0
-48.4800399,-26.3732948,25,0
-48.4828450,-26.3868792,28,0
-48.4821979,-26.3824304,29,0
-48.4770717,-26.3713993,29,0
-48.5840661,-26.5278189,31,0
-48.5605206,-26.5364956,32,0
-48.4729270,-27.1215946,,0
-48.4718732,-27.1100033,,0
-48.4718732,-27.1021001,,0
-48.4745076,-27.1337128,23,0
-48.4587720,-27.1376519,23,0
-48.4686267,-27.2051402,23,0
-48.4063229,-27.1837656,23,0
-48.4359796,-27.3910273,12,0
-48.4203050,-27.3828607,25,0
-48.3688026,-27.4235621,1,0
-48.3866012,-27.6095503,13,0
-48.5441460,27.9373130,,0
-48.5284330,-27.8393560,,0
-48.5057257,-27.8403220,,0
-48.4316902,-27.8449868,,0
